PLAYER_NAME,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,PAINT_FGM,PAINT_FGA,MID_FGM,MID_FGA,LC3_FGM,LC3_FGA,RC3_FGM,RC3_FGA,ATB3_FGM,ATB3_FGA,FGM,FGA
Malachi Flynn,DET,26,41,68,17,50,22,38,5,17,7,10,44,142,136,325
Malaki Branham,SAS,21,96,144,52,130,30,86,11,35,17,39,65,194,271,628
Malcolm Brogdon,POR,31,76,131,26,73,34,93,6,16,6,10,70,173,218,496
Malik Beasley,MIL,27,48,72,27,62,21,46,44,94,61,131,119,317,320,722
Malik Monk,SAC,26,124,195,78,174,46,101,10,31,15,32,123,360,396,893
MarJon Beauchamp,MIL,23,33,52,8,19,10,20,4,13,10,18,16,44,81,166
Marcus Morris Sr.,CLE,34,17,27,18,44,33,74,8,25,7,12,33,81,116,263
Marcus Sasser,DET,23,36,58,55,120,38,94,12,20,4,17,74,203,219,512
Marcus Smart,MEM,30,19,29,32,57,9,17,7,20,4,14,31,98,102,235
Mark Williams,CHA,22,88,124,10,26,0,1,0,0,0,0,0,0,98,151
Markelle Fultz,ORL,26,88,145,42,101,20,62,0,8,3,5,1,4,154,325
Markieff Morris,DAL,34,2,5,3,7,3,14,2,6,3,4,10,32,23,68
Marvin Bagley III,WAS,25,178,261,42,93,10,31,2,2,1,5,6,16,239,408
Mason Plumlee,LAC,34,71,109,16,37,0,1,0,2,0,2,0,2,87,153
Matisse Thybulle,POR,27,31,52,13,29,2,5,18,51,18,44,44,135,126,316
Matt Ryan,NOP,27,2,3,3,7,3,12,7,13,9,16,25,62,49,113
Max Christie,LAL,21,30,50,16,48,15,25,16,33,6,18,20,66,103,240
Max Strus,CLE,28,110,190,18,43,8,16,26,72,12,42,129,362,303,725
Maxi Kleber,DAL,32,22,29,5,15,4,10,5,20,3,13,24,59,63,146
Michael Porter Jr.,DEN,26,152,219,42,100,108,206,36,87,17,35,167,431,522,1078
Mikal Bridges,BKN,27,162,261,109,262,73,179,39,100,43,105,137,382,563,1289
Mike Conley,MIN,36,53,77,47,116,15,46,24,47,24,51,131,307,294,644
Mike Muscala,OKC,33,19,34,6,15,3,12,2,10,8,14,18,71,56,156
Miles Bridges,CHA,26,272,416,81,204,49,140,18,50,12,41,127,352,559,1203
Miles McBride,NYK,23,56,87,17,47,23,53,25,60,23,50,61,154,205,451
Mitchell Robinson,NYK,26,71,122,2,5,0,0,0,0,0,0,0,0,73,127
Mo Bamba,PHI,26,62,101,7,23,3,10,0,3,1,5,24,56,97,198
Monte Morris,MIN,29,10,19,9,29,16,35,10,19,1,4,16,45,62,151
Moritz Wagner,ORL,27,261,354,31,74,2,9,5,15,9,25,24,74,332,551
Moses Brown,POR,24,25,44,8,19,0,2,0,0,0,0,0,0,33,65
Moses Moody,GSW,22,71,101,39,85,12,34,9,29,8,26,55,145,194,420
Myles Turner,IND,28,209,297,97,199,54,89,3,9,10,32,103,282,476,908
Naji Marshall,NOP,26,57,98,45,93,10,26,19,43,15,38,23,61,169,359
Nassir Little,PHX,24,24,34,8,13,4,7,5,16,3,9,13,45,57,124
Nate Williams,HOU,25,22,29,3,15,0,1,1,2,0,2,1,1,27,50
Naz Reid,MIN,24,155,244,75,180,7,19,25,60,23,56,121,290,406,849
Neemias Queta,BOS,24,55,74,10,28,2,2,0,0,0,0,0,0,67,104
Nic Claxton,BKN,25,290,396,68,165,7,16,1,2,0,2,0,1,366,582
Nick Richards,CHA,26,223,294,31,63,6,18,0,0,0,0,0,1,260,376
Nick Smith Jr.,CHA,20,12,31,22,53,16,59,11,22,9,15,43,108,113,288
Nickeil Alexander-Walker,MIN,25,64,105,27,64,14,34,35,88,38,76,58,169,236,536
Nicolas Batum,PHI,35,34,53,5,6,4,12,23,51,21,52,29,81,116,255
Nikola Jokić,DEN,29,335,477,330,535,74,168,2,5,0,3,81,215,822,1403
Nikola Jović,MIA,21,35,63,24,47,3,8,11,24,12,25,42,114,127,281
Nikola Vučević,CHI,33,207,327,186,349,101,222,2,9,5,11,85,293,586,1211
Noah Clowney,BKN,19,32,43,6,17,0,0,5,8,5,13,2,12,50,93
Norman Powell,LAC,31,104,151,68,155,34,78,45,90,25,38,97,254,373,766
OG Anunoby,NYK,26,138,197,20,66,22,47,38,82,22,54,42,131,282,577
Obi Toppin,IND,26,203,260,23,54,4,12,31,72,12,32,59,146,332,576
Ochai Agbaji,TOR,24,100,153,10,53,6,16,18,50,19,49,25,111,178,432
Olivier-Maxence Prosper,DAL,21,25,43,0,10,2,6,6,20,0,5,7,20,40,104
Omer Yurtseven,UTA,26,51,75,40,77,3,8,1,3,2,8,2,13,99,184
Onuralp Bitim,CHI,25,12,19,4,12,4,9,2,10,2,5,8,29,32,84
Onyeka Okongwu,ATL,23,168,227,30,66,2,3,6,19,16,32,1,17,223,364
Orlando Robinson,MIA,23,19,32,9,20,0,5,2,2,2,2,4,11,36,72
Oshae Brissett,BOS,26,42,67,10,27,1,4,4,15,4,10,7,30,68,153
Ousmane Dieng,OKC,21,19,26,5,12,4,8,7,11,4,11,10,48,49,116
P.J. Tucker,LAC,39,4,7,0,6,1,2,5,15,8,20,0,0,18,50
P.J. Washington,DAL,25,132,195,82,179,8,24,16,66,12,50,104,295,354,809
Paolo Banchero,ORL,21,269,419,118,302,134,335,1,11,6,16,112,322,640,1405
Pascal Siakam,IND,30,332,469,192,384,72,172,15,33,19,42,51,171,681,1271
Pat Connaughton,MIL,31,59,82,9,26,1,1,19,41,20,58,43,139,151,347
Patrick Baldwin Jr.,WAS,21,26,38,2,14,0,6,2,7,5,11,24,79,59,155
Patrick Beverley,MIL,35,45,75,48,109,4,14,14,26,13,33,34,122,158,379
Patrick Williams,CHI,22,57,103,18,53,25,55,8,21,13,27,38,100,159,359
Patty Mills,MIA,35,8,11,3,14,11,19,5,14,4,13,15,60,46,131
Paul George,LAC,34,134,200,75,161,130,287,21,39,19,53,203,495,582,1235
Paul Reed,PHI,25,169,263,48,115,21,45,4,11,1,7,16,39,259,480
Payton Pritchard,BOS,26,83,112,26,68,41,73,23,56,21,48,102,273,296,630
Peyton Watson,DEN,21,109,171,40,90,14,34,9,32,11,37,25,77,208,441
Precious Achiuwa,NYK,24,179,271,27,84,3,17,7,30,7,16,12,51,235,469
Quentin Grimes,DET,24,36,64,3,9,2,15,24,64,4,19,53,157,122,328
RJ Barrett,TOR,24,244,366,89,222,13,42,9,28,27,63,54,159,436,880
Rayan Rupert,POR,20,15,35,10,36,1,12,7,20,3,7,18,51,54,161
Reggie Bullock Jr.,HOU,33,4,4,1,5,2,6,9,17,7,12,11,38,34,82
Reggie Jackson,DEN,34,105,184,73,172,46,116,10,29,14,31,78,220,326,752
Richaun Holmes,WAS,30,65,97,15,43,1,4,1,2,0,0,0,1,82,147
Ricky Council IV,PHI,22,26,41,14,35,2,4,2,6,2,4,8,22,54,112
Robert Covington,PHI,33,17,28,6,11,1,3,2,6,5,10,12,40,43,98
Royce O'Neale,PHX,31,42,69,13,42,3,6,23,50,10,26,123,339,214,532
Rudy Gobert,MIN,32,377,512,26,88,3,11,0,0,0,0,0,2,406,613
Rui Hachimura,LAL,26,179,235,50,123,36,86,32,67,17,42,49,123,363,676
Russell Westbrook,LAC,35,191,322,44,122,24,65,8,31,11,37,23,86,301,663
Saben Lee,PHX,25,13,28,5,10,0,1,1,6,0,4,1,6,20,55
Saddiq Bey,ATL,25,141,229,27,86,9,24,39,128,14,49,60,180,290,696
Sam Hauser,BOS,26,28,46,14,28,10,19,23,51,37,72,137,340,249,556
Sam Merrill,CLE,28,8,16,7,18,0,5,18,43,13,29,112,281,158,392
Sandro Mamukelashvili,SAS,25,37,58,13,26,4,7,1,8,4,11,14,42,73,152
